tid,toi,tfopwg_disp,pl_orbper,pl_tranmid,pl_trandurh
182943944,1017.01,FP,1.10422,2458518.96536,2.37
291555748,1018.01,FP,4.95912,2458492.78078,2.509
341420329,1019.01,PC,5.2341008,2459232.446864,3.7078139
149603524,102.01,KP,4.4119378,2460187.916571,3.65
140706664,1020.01,FP,3.28892,2458521.29108,3.793
143994283,1021.01,FP,1.90879,2458492.90429,1.909
47384844,1022.01,FA,3.09574,2458547.448,4.475
238374636,1023.01,FP,1.3214483,2459303.303969,3.435
141482386,1024.01,FP,18.0157,2458339.72276,2.524
297967252,1025.01,FP,9.6837908,2460733.686688,1.6988586
388624270,1026.01,FP,14.2628757,2460720.807674,6.9350494
20318757,1027.01,PC,3.2834565,2460037.86905,1.537
20318757,1027.02,PC,11.02875,2460032.53325,2.715
20318757,1027.03,PC,5.0113292,2460032.57304,1.024
447283466,1028.01,FP,1.01606,2458544.48066,2.843
374908020,1029.01,FP,36.22214,2458365.89313,5.107
336732616,103.01,KP,3.547854,2458327.25256,3.494333
464296022,1030.01,FP,12.1246519,2460054.783937,4.612
304021498,1031.01,FP,5.652623,2459304.837939,3.434
146589986,1032.01,PC,5.6643704,2459283.828685,3.8087395
149601557,1033.01,FP,29.0161646,2460717.39858,5.345
400595342,1034.01,FP,3.6404389,2460768.617427,2.5339234
361413119,1035.01,PC,6.0744477,2459286.872605,2.4954821
146172354,1036.01,PC,3.7795212,2460037.172273,2.952
363260203,1037.01,FP,1.2025238,2459331.124512,1.991
90544017,1038.01,FP,3.2235985,2459273.371643,2.159
231670397,104.01,KP,4.0872956,2460150.608677,5.586113
310483807,1040.01,FP,2.55555,2460756.129789,1.566
385624852,1041.01,FP,8.30792,2459261.801216,3.228
360286627,1042.01,FP,0.758082,2459281.337956,1.8184632
90448944,1043.01,FP,1.4415577,2459985.770425,2.349
463402815,1044.01,PC,1.0085089,2460037.194672,1.642
54044474,1045.01,FP,3.7039994,2459301.544126,4.277
309787037,1046.01,FP,1.3042553,2460177.867195,1.706
370745311,1047.01,FP,0.62627,2458544.79061,0.666
406976746,1063.01,PC,10.0665238,2458629.391681,2.4023189
79748331,1064.01,CP,6.4438657,2458656.668478,1.9309449
79748331,1064.02,CP,12.2265595,2458664.490132,2.1904379
7088246,1065.01,KP,2.160344,2458654.347994,1.828854
201604954,1066.01,KP,4.606184,2458657.832537,3.121643
201642601,1067.01,KP,3.1316735,2458656.987874,2.4579197
6663331,1068.01,KP,3.180362,2458656.633231,2.111521
31858843,1069.01,KP,2.9776446,2460147.378764,2.962
92352620,107.01,KP,3.9502008,2460176.993334,4.444
31858844,1070.01,FP,2.9776152,2458655.579241,3.25697
120247528,1071.01,KP,3.5544026,2458655.394059,2.0550535
140830390,1072.01,FP,12.8379689,2459211.732146,9.8464123
158297421,1073.01,CP,3.9228016,2459036.472812,1.8736007
327301957,1074.01,PC,13.9428705,2458662.652685,3.7522756
351601843,1075.01,CP,0.6047392,2458654.249503,1.0403847
