id,name,disposition,period,time0bk,duration,label,mission,path
757450,K00889.01,CONFIRMED,8.884922995,169.991686,2.07004,1,KEPLER,data/processed/K00889_01.npz
892772,K01009.01,FALSE POSITIVE,5.09246539,357.53594,3.659,0,KEPLER,data/processed/K01009_01.npz
1026032,K06252.01,FALSE POSITIVE,8.460438928,133.7744903,4.73492,0,KEPLER,data/processed/K06252_01.npz
1026957,K00958.01,CONFIRMED,21.76129812,166.540438,1.243,1,KEPLER,data/processed/K00958_01.npz
1027438,K01010.01,FALSE POSITIVE,110.61576622,145.83537,5.0,0,KEPLER,data/processed/K01010_01.npz
1161345,K00984.01,CONFIRMED,4.28746668,262.06245,1.5693,1,KEPLER,data/processed/K00984_01.npz
1293031,K04162.01,FALSE POSITIVE,0.53936593,131.97457,5.434,0,KEPLER,data/processed/K04162_01.npz
1430305,K04873.01,FALSE POSITIVE,359.3259,431.3267,9.836,0,KEPLER,data/processed/K04873_01.npz
1432789,K00992.01,CONFIRMED,9.93146307,136.49128,5.678,1,KEPLER,data/processed/K00992_01.npz
1433962,K00982.01,FALSE POSITIVE,1.592633181,133.9243804,5.5605,0,KEPLER,data/processed/K00982_01.npz
1433980,K03924.01,FALSE POSITIVE,1.592634161,132.328769,8.9488,0,KEPLER,data/processed/K03924_01.npz
1434395,K07623.01,FALSE POSITIVE,2.2227289,131.895,2.617,0,KEPLER,data/processed/K07623_01.npz
1571511,K00362.01,FALSE POSITIVE,14.022451457,177.5952096,8.08619,0,KEPLER,data/processed/K00362_01.npz
1575690,K03658.01,FALSE POSITIVE,2.252417903,132.436339,1.9767,0,KEPLER,data/processed/K03658_01.npz
1575873,K04359.01,FALSE POSITIVE,0.629001455,131.55662,1.263,0,KEPLER,data/processed/K04359_01.npz
1717528,K06255.01,FALSE POSITIVE,9.31392071,135.7783,0.971,0,KEPLER,data/processed/K06255_01.npz
1717722,K03145.01,CONFIRMED,4.53702121,132.1846,1.813,1,KEPLER,data/processed/K03145_01.npz
1718189,K00993.01,CONFIRMED,21.85362905,144.32031,3.439,1,KEPLER,data/processed/K00993_01.npz
1718189,K00993.02,CONFIRMED,13.0607936,137.63148,3.215,1,KEPLER,data/processed/K00993_02.npz
1718958,K04053.01,CONFIRMED,1.41975831,132.92,1.429,1,KEPLER,data/processed/K04053_01.npz
1722276,K01008.01,FALSE POSITIVE,569.934135,248.94045,4.1904,0,KEPLER,data/processed/K01008_01.npz
1724513,K04224.01,FALSE POSITIVE,1.975208831,131.63127,1.513,0,KEPLER,data/processed/K04224_01.npz
1725016,K01007.01,CONFIRMED,7.40742502,355.49652,3.675,1,KEPLER,data/processed/K01007_01.npz
1725193,K04925.01,FALSE POSITIVE,2.96384168,134.119473,5.4768,0,KEPLER,data/processed/K04925_01.npz
1725415,K02988.01,FALSE POSITIVE,2.43731228,132.06982,1.89,0,KEPLER,data/processed/K02988_01.npz
1865042,K01002.01,CONFIRMED,3.4815917,132.98828,1.8069,1,KEPLER,data/processed/K01002_01.npz
1868404,K07625.01,FALSE POSITIVE,6.12601169,134.83637,1.733,0,KEPLER,data/processed/K07625_01.npz
1870398,K04927.01,FALSE POSITIVE,43.142257,132.3007,61.73,0,KEPLER,data/processed/K04927_01.npz
1871056,K01001.01,CONFIRMED,40.8065333,155.71586,13.135,1,KEPLER,data/processed/K01001_01.npz
1871056,K01001.02,CONFIRMED,140.10765,216.21749,18.503,1,KEPLER,data/processed/K01001_02.npz
1872821,K02351.01,CONFIRMED,10.27380957,134.65748,3.252,1,KEPLER,data/processed/K02351_01.npz
1873513,K04928.01,CONFIRMED,3.290304098,131.90944,1.7215,1,KEPLER,data/processed/K04928_01.npz
1995519,K02634.01,CONFIRMED,19.9401211,142.34849,4.283,1,KEPLER,data/processed/K02634_01.npz
1995712,K07626.01,FALSE POSITIVE,462.12069,307.6255,10.42,0,KEPLER,data/processed/K07626_01.npz
1995732,K03351.01,FALSE POSITIVE,77.36241476,139.095626,12.1317,0,KEPLER,data/processed/K03351_01.npz
1996180,K02534.01,CONFIRMED,3.02558494,134.36744,3.0008,1,KEPLER,data/processed/K02534_01.npz
1996399,K01026.01,FALSE POSITIVE,94.10628163,184.9905063,17.21,0,KEPLER,data/processed/K01026_01.npz
1996679,K00147.01,FALSE POSITIVE,145.5624926,146.0588,5.4126,0,KEPLER,data/processed/K00147_01.npz
2010152,K08084.01,FALSE POSITIVE,317.74527,205.9582,17.54,0,KEPLER,data/processed/K08084_01.npz
2010607,K04929.01,FALSE POSITIVE,18.622214,141.6268,4.42,0,KEPLER,data/processed/K04929_01.npz
2013883,K06258.01,FALSE POSITIVE,0.764597756,131.69552,1.119,0,KEPLER,data/processed/K06258_01.npz
2014991,K02178.01,FALSE POSITIVE,6.49676881,132.17439,2.527,0,KEPLER,data/processed/K02178_01.npz
2015013,K04930.01,FALSE POSITIVE,27.8923345,146.02135,2.204,0,KEPLER,data/processed/K04930_01.npz
2019076,K03585.01,FALSE POSITIVE,3.564614021,131.86235,3.44204,0,KEPLER,data/processed/K03585_01.npz
2021440,K01987.01,FALSE POSITIVE,7.81153999,136.33101,5.984,0,KEPLER,data/processed/K01987_01.npz
2141783,K02201.01,FALSE POSITIVE,116.5214317,144.13378,5.577,0,KEPLER,data/processed/K02201_01.npz
2142501,K03233.01,FALSE POSITIVE,113.0707574,171.705,9.03,0,KEPLER,data/processed/K03233_01.npz
2142522,K02403.01,CONFIRMED,13.32354078,134.03671,3.873,1,KEPLER,data/processed/K02403_01.npz
2157247,K00997.01,FALSE POSITIVE,5.68628739,135.89269,17.573,0,KEPLER,data/processed/K00997_01.npz
2161623,K06094.01,FALSE POSITIVE,2.283466438,132.34883,7.7999,0,KEPLER,data/processed/K06094_01.npz
2162994,K06260.01,FALSE POSITIVE,4.101595158,132.6324315,6.10362,0,KEPLER,data/processed/K06260_01.npz
2164169,K01029.01,CONFIRMED,32.3122867,133.867,6.569,1,KEPLER,data/processed/K01029_01.npz
2165002,K00999.01,CONFIRMED,16.56806842,146.15285,4.2647,1,KEPLER,data/processed/K00999_01.npz
2165002,K00999.02,CONFIRMED,47.3329299,151.41614,2.708,1,KEPLER,data/processed/K00999_02.npz
2166200,K03735.01,FALSE POSITIVE,8.096939227,132.646466,2.8833,0,KEPLER,data/processed/K03735_01.npz
2166206,K01028.01,FALSE POSITIVE,8.09695764,140.74216,3.319,0,KEPLER,data/processed/K01028_01.npz
2167444,K06261.01,FALSE POSITIVE,2.43574046,133.47404,22.25,0,KEPLER,data/processed/K06261_01.npz
2167890,K03670.01,FALSE POSITIVE,2.64830047,133.034879,2.6395,0,KEPLER,data/processed/K03670_01.npz
2302548,K00988.01,CONFIRMED,10.38122447,268.02421,2.715,1,KEPLER,data/processed/K00988_01.npz
2302548,K00988.02,CONFIRMED,24.5709023,135.87209,3.587,1,KEPLER,data/processed/K00988_02.npz
2302758,K07629.01,FALSE POSITIVE,0.542122617,131.98408,1.283,0,KEPLER,data/processed/K07629_01.npz
2304320,K02033.01,CONFIRMED,16.54081386,133.95274,2.5996,1,KEPLER,data/processed/K02033_01.npz
2305311,K04434.01,FALSE POSITIVE,1.404674486,131.55621,5.056,0,KEPLER,data/processed/K04434_01.npz
2305543,K04936.01,FALSE POSITIVE,0.681137796,131.57697,2.7287,0,KEPLER,data/processed/K04936_01.npz
2305819,K03201.01,FALSE POSITIVE,135.57186,245.3504,9.94,0,KEPLER,data/processed/K03201_01.npz
2306756,K00113.01,FALSE POSITIVE,386.6030528,166.342079,6.8057,0,KEPLER,data/processed/K00113_01.npz
2307206,K03549.01,FALSE POSITIVE,204.0329342,253.536626,17.5623,0,KEPLER,data/processed/K03549_01.npz
2308411,K07631.01,FALSE POSITIVE,0.983304511,132.48478,1.78,0,KEPLER,data/processed/K07631_01.npz
2309585,K01004.01,FALSE POSITIVE,1.838514968,352.72266,2.7391,0,KEPLER,data/processed/K01004_01.npz
2436378,K02682.01,FALSE POSITIVE,8.53161917,136.27763,2.9596,0,KEPLER,data/processed/K02682_01.npz
2437060,K03712.01,FALSE POSITIVE,3.187087241,132.8582,7.2897,0,KEPLER,data/processed/K03712_01.npz
2437112,K03461.01,FALSE POSITIVE,18.79852,138.02082,4.795,0,KEPLER,data/processed/K03461_01.npz
2437112,K03461.02,FALSE POSITIVE,3.18740907,132.8032,6.19,0,KEPLER,data/processed/K03461_02.npz
2437149,K03598.01,FALSE POSITIVE,18.79862195,138.028268,7.4782,0,KEPLER,data/processed/K03598_01.npz
2437452,K06268.01,FALSE POSITIVE,7.234965722,134.582307,7.0245,0,KEPLER,data/processed/K06268_01.npz
2437488,K03920.01,FALSE POSITIVE,14.46993942,141.81105,7.455,0,KEPLER,data/processed/K03920_01.npz
2437505,K02671.02,FALSE POSITIVE,17.5509742,133.9459,4.064,0,KEPLER,data/processed/K02671_02.npz
2437783,K03745.01,FALSE POSITIVE,7.45306683,131.76434,4.7617,0,KEPLER,data/processed/K03745_01.npz
2437804,K06269.01,FALSE POSITIVE,7.45301717,131.77618,3.685,0,KEPLER,data/processed/K06269_01.npz
2437897,K04909.01,FALSE POSITIVE,1.65320144,132.40988,1.525,0,KEPLER,data/processed/K04909_01.npz
2438061,K06270.01,FALSE POSITIVE,2.442941283,132.011468,4.1847,0,KEPLER,data/processed/K06270_01.npz
2438062,K06271.01,FALSE POSITIVE,2.44295727,132.00292,4.0656,0,KEPLER,data/processed/K06271_01.npz
2438070,K00363.01,FALSE POSITIVE,2.442945167,171.09721,4.0145,0,KEPLER,data/processed/K00363_01.npz
2438406,K04941.01,FALSE POSITIVE,262.71162,134.3692,7.72,0,KEPLER,data/processed/K04941_01.npz
2438490,K03699.01,FALSE POSITIVE,3.31577795,131.53883,4.2349,0,KEPLER,data/processed/K03699_01.npz
2438502,K01003.01,FALSE POSITIVE,8.360616221,172.264978,7.5385,0,KEPLER,data/processed/K01003_01.npz
2438517,K06272.01,FALSE POSITIVE,3.31587688,131.50648,3.152,0,KEPLER,data/processed/K06272_01.npz
2439243,K02280.01,CONFIRMED,26.0203329,154.5286,4.965,1,KEPLER,data/processed/K02280_01.npz
2440757,K00792.01,FALSE POSITIVE,1.433769925,170.403536,1.8868,0,KEPLER,data/processed/K00792_01.npz
2441151,K00603.01,FALSE POSITIVE,2.192009479,171.671953,2.9453,0,KEPLER,data/processed/K00603_01.npz
2441161,K03642.01,FALSE POSITIVE,2.192004364,132.218114,3.075,0,KEPLER,data/processed/K03642_01.npz
2441728,K01000.01,FALSE POSITIVE,0.856895349,133.67521,1.3078,0,KEPLER,data/processed/K01000_01.npz
2442359,K03997.01,FALSE POSITIVE,0.552834211,131.75468,1.2887,0,KEPLER,data/processed/K03997_01.npz
2442448,K02812.01,CONFIRMED,76.6139446,153.79301,10.22,1,KEPLER,data/processed/K02812_01.npz
2444412,K00103.01,CONFIRMED,14.91095177,141.336726,3.325,1,KEPLER,data/processed/K00103_01.npz
2445129,K00793.01,FALSE POSITIVE,10.31872301,173.31543,3.836,0,KEPLER,data/processed/K00793_01.npz
2445134,K05983.01,FALSE POSITIVE,8.412008943,139.6485198,5.41096,0,KEPLER,data/processed/K05983_01.npz
2445975,K00053.01,FALSE POSITIVE,3.388887193,172.259054,2.4475,0,KEPLER,data/processed/K00053_01.npz
2446113,K00379.01,FALSE POSITIVE,6.71725648,170.99733,2.5207,0,KEPLER,data/processed/K00379_01.npz
2446134,K07632.01,FALSE POSITIVE,39.1307086,165.7408,2.295,0,KEPLER,data/processed/K07632_01.npz
2446623,K03674.01,FALSE POSITIVE,175.06586091,179.043787,4.5181,0,KEPLER,data/processed/K03674_01.npz
2449074,K00378.01,FALSE POSITIVE,4.94402197,173.75192,4.062,0,KEPLER,data/processed/K00378_01.npz
2449101,K04236.01,FALSE POSITIVE,0.739761008,131.80913,7.589,0,KEPLER,data/processed/K04236_01.npz
