kepoi_name,kepid,koi_disposition,label,path
K00113.01,2306756,FALSE POSITIVE,0,data/processed/K00113_01.npz
K00010.01,6922244,CONFIRMED,1,data/processed/K00010_01.npz
K00742.01,10419211,FALSE POSITIVE,0,data/processed/K00742_01.npz
K00743.01,10464078,FALSE POSITIVE,0,data/processed/K00743_01.npz
K00744.01,10480982,FALSE POSITIVE,0,data/processed/K00744_01.npz
K00744.02,10480982,FALSE POSITIVE,0,data/processed/K00744_02.npz
K00745.01,10485250,FALSE POSITIVE,0,data/processed/K00745_01.npz
K00748.01,10583180,FALSE POSITIVE,0,data/processed/K00748_01.npz
K00749.01,10601284,CONFIRMED,1,data/processed/K00749_01.npz
K00749.02,10601284,CONFIRMED,1,data/processed/K00749_02.npz
K00749.03,10601284,CONFIRMED,1,data/processed/K00749_03.npz
K00002.01,10666592,CONFIRMED,1,data/processed/K00002_01.npz
K00752.01,10797460,CONFIRMED,1,data/processed/K00752_01.npz
K00752.02,10797460,CONFIRMED,1,data/processed/K00752_02.npz
K00754.01,10848459,FALSE POSITIVE,0,data/processed/K00754_01.npz
K00756.01,10872983,CONFIRMED,1,data/processed/K00756_01.npz
K00756.02,10872983,CONFIRMED,1,data/processed/K00756_02.npz
K00756.03,10872983,CONFIRMED,1,data/processed/K00756_03.npz
K00757.01,10910878,CONFIRMED,1,data/processed/K00757_01.npz
K00757.02,10910878,CONFIRMED,1,data/processed/K00757_02.npz
K00757.03,10910878,CONFIRMED,1,data/processed/K00757_03.npz
K00112.02,10984090,CONFIRMED,1,data/processed/K00112_02.npz
K00112.01,10984090,CONFIRMED,1,data/processed/K00112_01.npz
K00001.01,11446443,CONFIRMED,1,data/processed/K00001_01.npz
K00792.01,2440757,FALSE POSITIVE,0,data/processed/K00792_01.npz
K00793.01,2445129,FALSE POSITIVE,0,data/processed/K00793_01.npz
K00794.01,2713049,CONFIRMED,1,data/processed/K00794_01.npz
K00797.01,3115833,CANDIDATE,1,data/processed/K00797_01.npz
K00798.01,3120431,FALSE POSITIVE,0,data/processed/K00798_01.npz
K00799.01,3246984,FALSE POSITIVE,0,data/processed/K00799_01.npz
K00801.01,3351888,CONFIRMED,1,data/processed/K00801_01.npz
K00802.01,3453214,CANDIDATE,1,data/processed/K00802_01.npz
K00803.01,3554600,FALSE POSITIVE,0,data/processed/K00803_01.npz
K00804.01,3641726,CONFIRMED,1,data/processed/K00804_01.npz
K00805.01,3734868,FALSE POSITIVE,0,data/processed/K00805_01.npz
K00806.01,3832474,CONFIRMED,1,data/processed/K00806_01.npz
K00806.02,3832474,CONFIRMED,1,data/processed/K00806_02.npz
K00806.03,3832474,CONFIRMED,1,data/processed/K00806_03.npz
K00806.04,3832474,FALSE POSITIVE,0,data/processed/K00806_04.npz
K00806.05,3832474,FALSE POSITIVE,0,data/processed/K00806_05.npz
K00808.01,3838486,FALSE POSITIVE,0,data/processed/K00808_01.npz
K00811.01,4049131,CONFIRMED,1,data/processed/K00811_01.npz
K00813.01,4275191,CONFIRMED,1,data/processed/K00813_01.npz
K00814.01,4476123,CONFIRMED,1,data/processed/K00814_01.npz
K00816.01,4664847,CONFIRMED,1,data/processed/K00816_01.npz
K00818.01,4913852,CONFIRMED,1,data/processed/K00818_01.npz
K00819.01,4932348,FALSE POSITIVE,0,data/processed/K00819_01.npz
K00820.01,4936180,CANDIDATE,1,data/processed/K00820_01.npz
K00821.01,5021899,CONFIRMED,1,data/processed/K00821_01.npz
K00822.01,5077629,FALSE POSITIVE,0,data/processed/K00822_01.npz
K00823.01,5115978,CANDIDATE,1,data/processed/K00823_01.npz
K00825.01,5252423,CONFIRMED,1,data/processed/K00825_01.npz
K00825.02,5252423,CONFIRMED,1,data/processed/K00825_02.npz
K00826.01,5272878,CONFIRMED,1,data/processed/K00826_01.npz
K00827.01,5283542,FALSE POSITIVE,0,data/processed/K00827_01.npz
K00828.01,5287983,FALSE POSITIVE,0,data/processed/K00828_01.npz
K00829.01,5358241,CONFIRMED,1,data/processed/K00829_01.npz
K00829.02,5358241,CONFIRMED,1,data/processed/K00829_02.npz
K00829.03,5358241,CONFIRMED,1,data/processed/K00829_03.npz
K00830.01,5358624,CONFIRMED,1,data/processed/K00830_01.npz
K00116.01,8395660,CONFIRMED,1,data/processed/K00116_01.npz
K00116.02,8395660,CONFIRMED,1,data/processed/K00116_02.npz
K00116.04,8395660,CONFIRMED,1,data/processed/K00116_04.npz
K00116.03,8395660,CONFIRMED,1,data/processed/K00116_03.npz
K00115.01,9579641,CONFIRMED,1,data/processed/K00115_01.npz
K00115.02,9579641,CONFIRMED,1,data/processed/K00115_02.npz
K00115.03,9579641,CANDIDATE,1,data/processed/K00115_03.npz
K00750.01,10662202,CONFIRMED,1,data/processed/K00750_01.npz
K00750.02,10662202,CANDIDATE,1,data/processed/K00750_02.npz
K00750.03,10662202,CANDIDATE,1,data/processed/K00750_03.npz
K00750.04,10662202,FALSE POSITIVE,0,data/processed/K00750_04.npz
K00751.01,10682541,CONFIRMED,1,data/processed/K00751_01.npz
K00117.02,10875245,CONFIRMED,1,data/processed/K00117_02.npz
K00117.01,10875245,CONFIRMED,1,data/processed/K00117_01.npz
K00117.04,10875245,CONFIRMED,1,data/processed/K00117_04.npz
K00117.03,10875245,CONFIRMED,1,data/processed/K00117_03.npz
K00760.01,11138155,CONFIRMED,1,data/processed/K00760_01.npz
K00761.01,11152159,FALSE POSITIVE,0,data/processed/K00761_01.npz
K00762.01,11153539,CONFIRMED,1,data/processed/K00762_01.npz
K00764.01,11304958,CONFIRMED,1,data/processed/K00764_01.npz
K00765.01,11391957,CONFIRMED,1,data/processed/K00765_01.npz
K00766.01,11403044,CONFIRMED,1,data/processed/K00766_01.npz
K00768.01,11442465,FALSE POSITIVE,0,data/processed/K00768_01.npz
K00770.01,11463211,FALSE POSITIVE,0,data/processed/K00770_01.npz
K00771.01,11465813,FALSE POSITIVE,0,data/processed/K00771_01.npz
K00772.01,11493732,FALSE POSITIVE,0,data/processed/K00772_01.npz
K00773.01,11507101,CONFIRMED,1,data/processed/K00773_01.npz
K00774.01,11656840,FALSE POSITIVE,0,data/processed/K00774_01.npz
K00775.01,11754553,CONFIRMED,1,data/processed/K00775_01.npz
K00775.02,11754553,CONFIRMED,1,data/processed/K00775_02.npz
K00775.03,11754553,CONFIRMED,1,data/processed/K00775_03.npz
K00776.01,11812062,CONFIRMED,1,data/processed/K00776_01.npz
K00777.01,11818800,CANDIDATE,1,data/processed/K00777_01.npz
K00779.01,11909839,FALSE POSITIVE,0,data/processed/K00779_01.npz
K00011.01,11913073,FALSE POSITIVE,0,data/processed/K00011_01.npz
K00781.01,11923270,CONFIRMED,1,data/processed/K00781_01.npz
