id,name,disposition,period,time0bk,duration,label,mission,path
757450,K00889.01,CONFIRMED,8.884922995,169.991686,2.07004,1,KEPLER,data/processed/K00889_01.npz
892772,K01009.01,FALSE POSITIVE,5.09246539,357.53594,3.659,0,KEPLER,data/processed/K01009_01.npz
1026032,K06252.01,FALSE POSITIVE,8.460438928,133.7744903,4.73492,0,KEPLER,data/processed/K06252_01.npz
1026957,K00958.01,CONFIRMED,21.76129812,166.540438,1.243,1,KEPLER,data/processed/K00958_01.npz
1027438,K01010.01,FALSE POSITIVE,110.61576622,145.83537,5.0,0,KEPLER,data/processed/K01010_01.npz
1161345,K00984.01,CONFIRMED,4.28746668,262.06245,1.5693,1,KEPLER,data/processed/K00984_01.npz
1161949,K04920.01,FALSE POSITIVE,473.95103,366.0309,11.778,0,KEPLER,data/processed/K04920_01.npz
1293046,K07622.01,FALSE POSITIVE,36.2671673,155.0813,2.065,0,KEPLER,data/processed/K07622_01.npz
1297263,K04922.01,FALSE POSITIVE,153.521361,281.2973,3.893,0,KEPLER,data/processed/K04922_01.npz
1433962,K00982.01,FALSE POSITIVE,1.592633181,133.9243804,5.5605,0,KEPLER,data/processed/K00982_01.npz
1433980,K03924.01,FALSE POSITIVE,1.592634161,132.328769,8.9488,0,KEPLER,data/processed/K03924_01.npz
1571511,K00362.01,FALSE POSITIVE,14.022451457,177.5952096,8.08619,0,KEPLER,data/processed/K00362_01.npz
1717528,K06255.01,FALSE POSITIVE,9.31392071,135.7783,0.971,0,KEPLER,data/processed/K06255_01.npz
1717722,K03145.01,CONFIRMED,4.53702121,132.1846,1.813,1,KEPLER,data/processed/K03145_01.npz
1718189,K00993.01,CONFIRMED,21.85362905,144.32031,3.439,1,KEPLER,data/processed/K00993_01.npz
1718189,K00993.02,CONFIRMED,13.0607936,137.63148,3.215,1,KEPLER,data/processed/K00993_02.npz
1724513,K04224.01,FALSE POSITIVE,1.975208831,131.63127,1.513,0,KEPLER,data/processed/K04224_01.npz
1724719,K04212.01,CONFIRMED,5.79179934,133.35814,3.474,1,KEPLER,data/processed/K04212_01.npz
1725016,K01007.01,CONFIRMED,7.40742502,355.49652,3.675,1,KEPLER,data/processed/K01007_01.npz
1725193,K04925.01,FALSE POSITIVE,2.96384168,134.119473,5.4768,0,KEPLER,data/processed/K04925_01.npz
1849702,K02538.01,CONFIRMED,39.8312536,155.6409,2.442,1,KEPLER,data/processed/K02538_01.npz
1868404,K07625.01,FALSE POSITIVE,6.12601169,134.83637,1.733,0,KEPLER,data/processed/K07625_01.npz
1870398,K04927.01,FALSE POSITIVE,43.142257,132.3007,61.73,0,KEPLER,data/processed/K04927_01.npz
1871056,K01001.01,CONFIRMED,40.8065333,155.71586,13.135,1,KEPLER,data/processed/K01001_01.npz
1871056,K01001.02,CONFIRMED,140.10765,216.21749,18.503,1,KEPLER,data/processed/K01001_02.npz
1873513,K04928.01,CONFIRMED,3.290304098,131.90944,1.7215,1,KEPLER,data/processed/K04928_01.npz
1995519,K02634.01,CONFIRMED,19.9401211,142.34849,4.283,1,KEPLER,data/processed/K02634_01.npz
1995712,K07626.01,FALSE POSITIVE,462.12069,307.6255,10.42,0,KEPLER,data/processed/K07626_01.npz
1995732,K03351.01,FALSE POSITIVE,77.36241476,139.095626,12.1317,0,KEPLER,data/processed/K03351_01.npz
1996399,K01026.01,FALSE POSITIVE,94.10628163,184.9905063,17.21,0,KEPLER,data/processed/K01026_01.npz
1996679,K00147.01,FALSE POSITIVE,145.5624926,146.0588,5.4126,0,KEPLER,data/processed/K00147_01.npz
2010152,K08084.01,FALSE POSITIVE,317.74527,205.9582,17.54,0,KEPLER,data/processed/K08084_01.npz
2010191,K03999.01,FALSE POSITIVE,3.43525124,132.6333,4.509,0,KEPLER,data/processed/K03999_01.npz
2010607,K04929.01,FALSE POSITIVE,18.622214,141.6268,4.42,0,KEPLER,data/processed/K04929_01.npz
2012722,K06257.01,FALSE POSITIVE,2.32539968,132.12985,16.791,0,KEPLER,data/processed/K06257_01.npz
2013883,K06258.01,FALSE POSITIVE,0.764597756,131.69552,1.119,0,KEPLER,data/processed/K06258_01.npz
2014991,K02178.01,FALSE POSITIVE,6.49676881,132.17439,2.527,0,KEPLER,data/processed/K02178_01.npz
2019076,K03585.01,FALSE POSITIVE,3.564614021,131.86235,3.44204,0,KEPLER,data/processed/K03585_01.npz
2021440,K01987.01,FALSE POSITIVE,7.81153999,136.33101,5.984,0,KEPLER,data/processed/K01987_01.npz
2140389,K07627.01,FALSE POSITIVE,0.967427812,132.258305,5.8883,0,KEPLER,data/processed/K07627_01.npz
2141783,K02201.01,FALSE POSITIVE,116.5214317,144.13378,5.577,0,KEPLER,data/processed/K02201_01.npz
2142501,K03233.01,FALSE POSITIVE,113.0707574,171.705,9.03,0,KEPLER,data/processed/K03233_01.npz
2142522,K02403.01,CONFIRMED,13.32354078,134.03671,3.873,1,KEPLER,data/processed/K02403_01.npz
2157247,K00997.01,FALSE POSITIVE,5.68628739,135.89269,17.573,0,KEPLER,data/processed/K00997_01.npz
2161536,K02130.01,CONFIRMED,16.85592593,138.26808,2.309,1,KEPLER,data/processed/K02130_01.npz
2161623,K06094.01,FALSE POSITIVE,2.283466438,132.34883,7.7999,0,KEPLER,data/processed/K06094_01.npz
2163226,K04933.01,FALSE POSITIVE,452.10093,460.4884,12.69,0,KEPLER,data/processed/K04933_01.npz
2165002,K00999.01,CONFIRMED,16.56806842,146.15285,4.2647,1,KEPLER,data/processed/K00999_01.npz
2165002,K00999.02,CONFIRMED,47.3329299,151.41614,2.708,1,KEPLER,data/processed/K00999_02.npz
2166206,K01028.01,FALSE POSITIVE,8.09695764,140.74216,3.319,0,KEPLER,data/processed/K01028_01.npz
2167890,K03670.01,FALSE POSITIVE,2.64830047,133.034879,2.6395,0,KEPLER,data/processed/K03670_01.npz
2302548,K00988.01,CONFIRMED,10.38122447,268.02421,2.715,1,KEPLER,data/processed/K00988_01.npz
2302548,K00988.02,CONFIRMED,24.5709023,135.87209,3.587,1,KEPLER,data/processed/K00988_02.npz
2302758,K07629.01,FALSE POSITIVE,0.542122617,131.98408,1.283,0,KEPLER,data/processed/K07629_01.npz
2304320,K02033.01,CONFIRMED,16.54081386,133.95274,2.5996,1,KEPLER,data/processed/K02033_01.npz
2305311,K04434.01,FALSE POSITIVE,1.404674486,131.55621,5.056,0,KEPLER,data/processed/K04434_01.npz
2305372,K06264.01,FALSE POSITIVE,1.40469182,131.552084,6.26327,0,KEPLER,data/processed/K06264_01.npz
2305543,K04936.01,FALSE POSITIVE,0.681137796,131.57697,2.7287,0,KEPLER,data/processed/K04936_01.npz
2305819,K03201.01,FALSE POSITIVE,135.57186,245.3504,9.94,0,KEPLER,data/processed/K03201_01.npz
2306740,K06265.01,FALSE POSITIVE,10.306982793,143.7331641,11.4277,0,KEPLER,data/processed/K06265_01.npz
2306756,K00113.01,FALSE POSITIVE,386.6030528,166.342079,6.8057,0,KEPLER,data/processed/K00113_01.npz
2307206,K03549.01,FALSE POSITIVE,204.0329342,253.536626,17.5623,0,KEPLER,data/processed/K03549_01.npz
2307415,K02053.01,CONFIRMED,13.12162167,133.39526,3.6138,1,KEPLER,data/processed/K02053_01.npz
2307415,K02053.02,CONFIRMED,4.6126736,132.7757,3.0643,1,KEPLER,data/processed/K02053_02.npz
2308411,K07631.01,FALSE POSITIVE,0.983304511,132.48478,1.78,0,KEPLER,data/processed/K07631_01.npz
2308957,K06266.01,FALSE POSITIVE,1.109841858,132.1655985,8.11952,0,KEPLER,data/processed/K06266_01.npz
2309587,K05982.01,FALSE POSITIVE,1.838514245,132.101259,3.2601,0,KEPLER,data/processed/K05982_01.npz
2309719,K01020.01,FALSE POSITIVE,54.35635067,164.070221,6.4345,0,KEPLER,data/processed/K01020_01.npz
2437060,K03712.01,FALSE POSITIVE,3.187087241,132.8582,7.2897,0,KEPLER,data/processed/K03712_01.npz
2437112,K03461.01,FALSE POSITIVE,18.79852,138.02082,4.795,0,KEPLER,data/processed/K03461_01.npz
2437112,K03461.02,FALSE POSITIVE,3.18740907,132.8032,6.19,0,KEPLER,data/processed/K03461_02.npz
2437149,K03598.01,FALSE POSITIVE,18.79862195,138.028268,7.4782,0,KEPLER,data/processed/K03598_01.npz
2437505,K02671.02,FALSE POSITIVE,17.5509742,133.9459,4.064,0,KEPLER,data/processed/K02671_02.npz
2437783,K03745.01,FALSE POSITIVE,7.45306683,131.76434,4.7617,0,KEPLER,data/processed/K03745_01.npz
2437804,K06269.01,FALSE POSITIVE,7.45301717,131.77618,3.685,0,KEPLER,data/processed/K06269_01.npz
2437897,K04909.01,FALSE POSITIVE,1.65320144,132.40988,1.525,0,KEPLER,data/processed/K04909_01.npz
2438061,K06270.01,FALSE POSITIVE,2.442941283,132.011468,4.1847,0,KEPLER,data/processed/K06270_01.npz
2438070,K00363.01,FALSE POSITIVE,2.442945167,171.09721,4.0145,0,KEPLER,data/processed/K00363_01.npz
2438264,K00440.01,CONFIRMED,15.90688891,177.9305,3.9879,1,KEPLER,data/processed/K00440_01.npz
2438264,K00440.02,CONFIRMED,4.973455252,170.885791,1.6519,1,KEPLER,data/processed/K00440_02.npz
2438502,K01003.01,FALSE POSITIVE,8.360616221,172.264978,7.5385,0,KEPLER,data/processed/K01003_01.npz
2438513,K01944.01,CONFIRMED,12.18420006,139.05644,2.5014,1,KEPLER,data/processed/K01944_01.npz
2438513,K01944.02,FALSE POSITIVE,8.3606759,138.81934,6.287,0,KEPLER,data/processed/K01944_02.npz
2439243,K02280.01,CONFIRMED,26.0203329,154.5286,4.965,1,KEPLER,data/processed/K02280_01.npz
2440757,K00792.01,FALSE POSITIVE,1.433769925,170.403536,1.8868,0,KEPLER,data/processed/K00792_01.npz
2441161,K03642.01,FALSE POSITIVE,2.192004364,132.218114,3.075,0,KEPLER,data/processed/K03642_01.npz
2441728,K01000.01,FALSE POSITIVE,0.856895349,133.67521,1.3078,0,KEPLER,data/processed/K01000_01.npz
2442084,K06273.01,FALSE POSITIVE,49.788613011,175.192714,7.41807,0,KEPLER,data/processed/K06273_01.npz
2442359,K03997.01,FALSE POSITIVE,0.552834211,131.75468,1.2887,0,KEPLER,data/processed/K03997_01.npz
2442448,K02812.01,CONFIRMED,76.6139446,153.79301,10.22,1,KEPLER,data/processed/K02812_01.npz
2444412,K00103.01,CONFIRMED,14.91095177,141.336726,3.325,1,KEPLER,data/processed/K00103_01.npz
2445129,K00793.01,FALSE POSITIVE,10.31872301,173.31543,3.836,0,KEPLER,data/processed/K00793_01.npz
2445134,K05983.01,FALSE POSITIVE,8.412008943,139.6485198,5.41096,0,KEPLER,data/processed/K05983_01.npz
2446134,K07632.01,FALSE POSITIVE,39.1307086,165.7408,2.295,0,KEPLER,data/processed/K07632_01.npz
2446623,K03674.01,FALSE POSITIVE,175.06586091,179.043787,4.5181,0,KEPLER,data/processed/K03674_01.npz
2449053,K07633.01,FALSE POSITIVE,0.73975345,131.81739,4.2,0,KEPLER,data/processed/K07633_01.npz
2449090,K03702.01,FALSE POSITIVE,4.944046127,134.192012,4.50334,0,KEPLER,data/processed/K03702_01.npz
2450716,K06275.01,FALSE POSITIVE,1.38607973,131.5931,8.7,0,KEPLER,data/processed/K06275_01.npz
2452289,K04942.01,FALSE POSITIVE,6.0353643,133.1818,9.211,0,KEPLER,data/processed/K04942_01.npz
2452440,K03687.01,FALSE POSITIVE,8.097050622,138.423529,5.6736,0,KEPLER,data/processed/K03687_01.npz
2452450,K00380.01,FALSE POSITIVE,8.0970583,170.81044,5.699,0,KEPLER,data/processed/K00380_01.npz
2554853,K04911.01,FALSE POSITIVE,309.494217,375.9225,13.716,0,KEPLER,data/processed/K04911_01.npz
2556650,K02156.01,CONFIRMED,2.852348262,132.044534,0.7051,1,KEPLER,data/processed/K02156_01.npz
