id,name,disposition,period,time0bk,duration,label,mission,path
757450,K00889.01,CONFIRMED,8.884922995,169.991686,2.07004,1,KEPLER,data/processed/K00889_01.npz
1025986,K07621.01,CANDIDATE,275.07365,315.2486,3.37,1,KEPLER,data/processed/K07621_01.npz
1026032,K06252.01,FALSE POSITIVE,8.460438928,133.7744903,4.73492,0,KEPLER,data/processed/K06252_01.npz
1026957,K00958.01,CONFIRMED,21.76129812,166.540438,1.243,1,KEPLER,data/processed/K00958_01.npz
1161345,K00984.01,CONFIRMED,4.28746668,262.06245,1.5693,1,KEPLER,data/processed/K00984_01.npz
1161949,K04920.01,FALSE POSITIVE,473.95103,366.0309,11.778,0,KEPLER,data/processed/K04920_01.npz
1164301,K04921.01,CANDIDATE,95.688682,224.2893,6.465,1,KEPLER,data/processed/K04921_01.npz
1293379,K06253.01,CANDIDATE,27.556452,132.1916,8.23,1,KEPLER,data/processed/K06253_01.npz
1297263,K04922.01,FALSE POSITIVE,153.521361,281.2973,3.893,0,KEPLER,data/processed/K04922_01.npz
1429589,K04923.01,CANDIDATE,38.168652,144.4713,5.086,1,KEPLER,data/processed/K04923_01.npz
1430305,K04873.01,FALSE POSITIVE,359.3259,431.3267,9.836,0,KEPLER,data/processed/K04873_01.npz
1431122,K00994.01,CANDIDATE,4.2989201,132.86187,2.747,1,KEPLER,data/processed/K00994_01.npz
1432214,K00998.01,FALSE POSITIVE,161.78832712,214.039,5.31,0,KEPLER,data/processed/K00998_01.npz
1432789,K00992.01,CONFIRMED,9.93146307,136.49128,5.678,1,KEPLER,data/processed/K00992_01.npz
1432789,K00992.02,CANDIDATE,4.57834367,132.2982,3.987,1,KEPLER,data/processed/K00992_02.npz
1434395,K07623.01,FALSE POSITIVE,2.2227289,131.895,2.617,0,KEPLER,data/processed/K07623_01.npz
1571511,K00362.01,FALSE POSITIVE,14.022451457,177.5952096,8.08619,0,KEPLER,data/processed/K00362_01.npz
