id,name,disposition,period,time0bk,duration,label,mission,path
757450,K00889.01,CONFIRMED,8.884922995,169.991686,2.07004,1,KEPLER,data/processed/K00889_01.npz
892772,K01009.01,FALSE POSITIVE,5.09246539,357.53594,3.659,0,KEPLER,data/processed/K01009_01.npz
1025986,K07621.01,CANDIDATE,275.07365,315.2486,3.37,-1,KEPLER,data/processed/K07621_01.npz
1026032,K06252.01,FALSE POSITIVE,8.460438928,133.7744903,4.73492,0,KEPLER,data/processed/K06252_01.npz
1026957,K00958.01,CONFIRMED,21.76129812,166.540438,1.243,1,KEPLER,data/processed/K00958_01.npz
1027438,K01010.01,FALSE POSITIVE,110.61576622,145.83537,5.0,0,KEPLER,data/processed/K01010_01.npz
1161345,K00984.01,CONFIRMED,4.28746668,262.06245,1.5693,1,KEPLER,data/processed/K00984_01.npz
1161949,K04920.01,FALSE POSITIVE,473.95103,366.0309,11.778,0,KEPLER,data/processed/K04920_01.npz
1164301,K04921.01,CANDIDATE,95.688682,224.2893,6.465,-1,KEPLER,data/processed/K04921_01.npz
1293031,K04162.01,FALSE POSITIVE,0.53936593,131.97457,5.434,0,KEPLER,data/processed/K04162_01.npz
1293046,K07622.01,FALSE POSITIVE,36.2671673,155.0813,2.065,0,KEPLER,data/processed/K07622_01.npz
1293379,K06253.01,CANDIDATE,27.556452,132.1916,8.23,-1,KEPLER,data/processed/K06253_01.npz
1297263,K04922.01,FALSE POSITIVE,153.521361,281.2973,3.893,0,KEPLER,data/processed/K04922_01.npz
1429589,K04923.01,CANDIDATE,38.168652,144.4713,5.086,-1,KEPLER,data/processed/K04923_01.npz
1430305,K04873.01,FALSE POSITIVE,359.3259,431.3267,9.836,0,KEPLER,data/processed/K04873_01.npz
1431122,K00994.01,CANDIDATE,4.2989201,132.86187,2.747,-1,KEPLER,data/processed/K00994_01.npz
1432214,K00998.01,FALSE POSITIVE,161.78832712,214.039,5.31,0,KEPLER,data/processed/K00998_01.npz
1432789,K00992.01,CONFIRMED,9.93146307,136.49128,5.678,1,KEPLER,data/processed/K00992_01.npz
1432789,K00992.02,CANDIDATE,4.57834367,132.2982,3.987,-1,KEPLER,data/processed/K00992_02.npz
1433531,K06254.01,FALSE POSITIVE,567.71329,436.4746,12.85,0,KEPLER,data/processed/K06254_01.npz
1433962,K00982.01,FALSE POSITIVE,1.592633181,133.9243804,5.5605,0,KEPLER,data/processed/K00982_01.npz
1433980,K03924.01,FALSE POSITIVE,1.592634161,132.328769,8.9488,0,KEPLER,data/processed/K03924_01.npz
1434395,K07623.01,FALSE POSITIVE,2.2227289,131.895,2.617,0,KEPLER,data/processed/K07623_01.npz
1571511,K00362.01,FALSE POSITIVE,14.022451457,177.5952096,8.08619,0,KEPLER,data/processed/K00362_01.npz
1572948,K04924.01,FALSE POSITIVE,3.0031801,132.1161,2.814,0,KEPLER,data/processed/K04924_01.npz
1575690,K03658.01,FALSE POSITIVE,2.252417903,132.436339,1.9767,0,KEPLER,data/processed/K03658_01.npz
1575873,K04359.01,FALSE POSITIVE,0.629001455,131.55662,1.263,0,KEPLER,data/processed/K04359_01.npz
1717528,K06255.01,FALSE POSITIVE,9.31392071,135.7783,0.971,0,KEPLER,data/processed/K06255_01.npz
1717722,K03145.01,CONFIRMED,4.53702121,132.1846,1.813,1,KEPLER,data/processed/K03145_01.npz
1717722,K03145.02,CANDIDATE,0.977311489,131.70299,1.403,-1,KEPLER,data/processed/K03145_02.npz
1718189,K00993.01,CONFIRMED,21.85362905,144.32031,3.439,1,KEPLER,data/processed/K00993_01.npz
1718189,K00993.02,CONFIRMED,13.0607936,137.63148,3.215,1,KEPLER,data/processed/K00993_02.npz
1718189,K00993.03,CANDIDATE,86.723653,195.3511,4.852,-1,KEPLER,data/processed/K00993_03.npz
1718958,K04053.01,CONFIRMED,1.41975831,132.92,1.429,1,KEPLER,data/processed/K04053_01.npz
1721157,K04644.01,CANDIDATE,3.44928111,133.38221,1.424,-1,KEPLER,data/processed/K04644_01.npz
1722276,K01008.01,FALSE POSITIVE,569.934135,248.94045,4.1904,0,KEPLER,data/processed/K01008_01.npz
1723078,K07624.01,CANDIDATE,330.025002,364.8075,6.659,-1,KEPLER,data/processed/K07624_01.npz
1724513,K04224.01,FALSE POSITIVE,1.975208831,131.63127,1.513,0,KEPLER,data/processed/K04224_01.npz
1724719,K04212.01,CONFIRMED,5.79179934,133.35814,3.474,1,KEPLER,data/processed/K04212_01.npz
1724719,K04212.02,CANDIDATE,10.0989634,132.3351,6.428,-1,KEPLER,data/processed/K04212_02.npz
1725016,K01007.01,CONFIRMED,7.40742502,355.49652,3.675,1,KEPLER,data/processed/K01007_01.npz
1725193,K04925.01,FALSE POSITIVE,2.96384168,134.119473,5.4768,0,KEPLER,data/processed/K04925_01.npz
1725415,K02988.01,FALSE POSITIVE,2.43731228,132.06982,1.89,0,KEPLER,data/processed/K02988_01.npz
1849702,K02538.01,CONFIRMED,39.8312536,155.6409,2.442,1,KEPLER,data/processed/K02538_01.npz
1865042,K01002.01,CONFIRMED,3.4815917,132.98828,1.8069,1,KEPLER,data/processed/K01002_01.npz
1865864,K04926.01,CANDIDATE,69.089357,135.4461,6.207,-1,KEPLER,data/processed/K04926_01.npz
1868404,K07625.01,FALSE POSITIVE,6.12601169,134.83637,1.733,0,KEPLER,data/processed/K07625_01.npz
1870398,K04927.01,FALSE POSITIVE,43.142257,132.3007,61.73,0,KEPLER,data/processed/K04927_01.npz
1871056,K01001.01,CONFIRMED,40.8065333,155.71586,13.135,1,KEPLER,data/processed/K01001_01.npz
1871056,K01001.02,CONFIRMED,140.10765,216.21749,18.503,1,KEPLER,data/processed/K01001_02.npz
1871483,K06256.01,CANDIDATE,14.137062,136.69826,2.264,-1,KEPLER,data/processed/K06256_01.npz
1872821,K02351.01,CONFIRMED,10.27380957,134.65748,3.252,1,KEPLER,data/processed/K02351_01.npz
1873513,K04928.01,CONFIRMED,3.290304098,131.90944,1.7215,1,KEPLER,data/processed/K04928_01.npz
1995519,K02634.01,CONFIRMED,19.9401211,142.34849,4.283,1,KEPLER,data/processed/K02634_01.npz
1995712,K07626.01,FALSE POSITIVE,462.12069,307.6255,10.42,0,KEPLER,data/processed/K07626_01.npz
1995732,K03351.01,FALSE POSITIVE,77.36241476,139.095626,12.1317,0,KEPLER,data/processed/K03351_01.npz
1996180,K02534.01,CONFIRMED,3.02558494,134.36744,3.0008,1,KEPLER,data/processed/K02534_01.npz
1996180,K02534.02,CANDIDATE,5.42204257,133.46021,2.952,-1,KEPLER,data/processed/K02534_02.npz
1996399,K01026.01,FALSE POSITIVE,94.10628163,184.9905063,17.21,0,KEPLER,data/processed/K01026_01.npz
1996679,K00147.01,FALSE POSITIVE,145.5624926,146.0588,5.4126,0,KEPLER,data/processed/K00147_01.npz
2010152,K08084.01,FALSE POSITIVE,317.74527,205.9582,17.54,0,KEPLER,data/processed/K08084_01.npz
2010191,K03999.01,FALSE POSITIVE,3.43525124,132.6333,4.509,0,KEPLER,data/processed/K03999_01.npz
2010607,K04929.01,FALSE POSITIVE,18.622214,141.6268,4.42,0,KEPLER,data/processed/K04929_01.npz
2012722,K06257.01,FALSE POSITIVE,2.32539968,132.12985,16.791,0,KEPLER,data/processed/K06257_01.npz
2013883,K06258.01,FALSE POSITIVE,0.764597756,131.69552,1.119,0,KEPLER,data/processed/K06258_01.npz
2014991,K02178.01,FALSE POSITIVE,6.49676881,132.17439,2.527,0,KEPLER,data/processed/K02178_01.npz
2015013,K04930.01,FALSE POSITIVE,27.8923345,146.02135,2.204,0,KEPLER,data/processed/K04930_01.npz
2019076,K03585.01,FALSE POSITIVE,3.564614021,131.86235,3.44204,0,KEPLER,data/processed/K03585_01.npz
2019199,K04931.01,CANDIDATE,579.81521,343.5587,5.43,-1,KEPLER,data/processed/K04931_01.npz
2019477,K06093.02,CANDIDATE,27.2497521,131.8837,11.609,-1,KEPLER,data/processed/K06093_02.npz
2019477,K06093.01,CANDIDATE,20.5736113,149.1939,11.222,-1,KEPLER,data/processed/K06093_01.npz
2021440,K01987.01,FALSE POSITIVE,7.81153999,136.33101,5.984,0,KEPLER,data/processed/K01987_01.npz
2140389,K07627.01,FALSE POSITIVE,0.967427812,132.258305,5.8883,0,KEPLER,data/processed/K07627_01.npz
2141783,K02201.01,FALSE POSITIVE,116.5214317,144.13378,5.577,0,KEPLER,data/processed/K02201_01.npz
2142501,K03233.01,FALSE POSITIVE,113.0707574,171.705,9.03,0,KEPLER,data/processed/K03233_01.npz
2142522,K02403.01,CONFIRMED,13.32354078,134.03671,3.873,1,KEPLER,data/processed/K02403_01.npz
2157247,K00997.01,FALSE POSITIVE,5.68628739,135.89269,17.573,0,KEPLER,data/processed/K00997_01.npz
2158460,K04932.01,CANDIDATE,19.12788374,134.8576413,2.0,-1,KEPLER,data/processed/K04932_01.npz
2161536,K02130.01,CONFIRMED,16.85592593,138.26808,2.309,1,KEPLER,data/processed/K02130_01.npz
2161623,K06094.01,FALSE POSITIVE,2.283466438,132.34883,7.7999,0,KEPLER,data/processed/K06094_01.npz
2161949,K06259.01,CANDIDATE,4.78113942,131.7043,2.733,-1,KEPLER,data/processed/K06259_01.npz
2161949,K06259.02,CANDIDATE,7.18864064,133.14566,2.364,-1,KEPLER,data/processed/K06259_02.npz
2162635,K01032.01,CANDIDATE,1500.1406772,176.08226,25.727,-1,KEPLER,data/processed/K01032_01.npz
2162994,K06260.01,FALSE POSITIVE,4.101595158,132.6324315,6.10362,0,KEPLER,data/processed/K06260_01.npz
2163226,K04933.01,FALSE POSITIVE,452.10093,460.4884,12.69,0,KEPLER,data/processed/K04933_01.npz
2164169,K01029.01,CONFIRMED,32.3122867,133.867,6.569,1,KEPLER,data/processed/K01029_01.npz
2165002,K00999.01,CONFIRMED,16.56806842,146.15285,4.2647,1,KEPLER,data/processed/K00999_01.npz
2165002,K00999.02,CONFIRMED,47.3329299,151.41614,2.708,1,KEPLER,data/processed/K00999_02.npz
2165352,K04934.01,FALSE POSITIVE,0.7906069,132.077067,3.3996,0,KEPLER,data/processed/K04934_01.npz
2166200,K03735.01,FALSE POSITIVE,8.096939227,132.646466,2.8833,0,KEPLER,data/processed/K03735_01.npz
2166206,K01028.01,FALSE POSITIVE,8.09695764,140.74216,3.319,0,KEPLER,data/processed/K01028_01.npz
2167444,K06261.01,FALSE POSITIVE,2.43574046,133.47404,22.25,0,KEPLER,data/processed/K06261_01.npz
2167890,K03670.01,FALSE POSITIVE,2.64830047,133.034879,2.6395,0,KEPLER,data/processed/K03670_01.npz
2283362,K06262.01,CANDIDATE,0.673141323,131.68751,0.921,-1,KEPLER,data/processed/K06262_01.npz
2284957,K08085.01,CANDIDATE,419.2615,187.5475,21.53,-1,KEPLER,data/processed/K08085_01.npz
2299738,K07628.01,CANDIDATE,1.8134378,132.6703,7.776,-1,KEPLER,data/processed/K07628_01.npz
2301068,K06263.01,CANDIDATE,8.60965352,134.38829,2.218,-1,KEPLER,data/processed/K06263_01.npz
2302548,K00988.01,CONFIRMED,10.38122447,268.02421,2.715,1,KEPLER,data/processed/K00988_01.npz
2302548,K00988.02,CONFIRMED,24.5709023,135.87209,3.587,1,KEPLER,data/processed/K00988_02.npz
2302758,K07629.01,FALSE POSITIVE,0.542122617,131.98408,1.283,0,KEPLER,data/processed/K07629_01.npz
2302997,K07630.01,CANDIDATE,16.2982201,134.7404,2.558,-1,KEPLER,data/processed/K07630_01.npz
2303903,K04709.01,CANDIDATE,3.70858595,134.47308,1.94,-1,KEPLER,data/processed/K04709_01.npz
2304320,K02033.01,CONFIRMED,16.54081386,133.95274,2.5996,1,KEPLER,data/processed/K02033_01.npz
2305255,K04935.01,FALSE POSITIVE,24.5714867,156.0157,29.96,0,KEPLER,data/processed/K04935_01.npz
