id,name,disposition,period,time0bk,duration,label,mission,path
1003831,TOI-564.01,CONFIRMED,1.6511456,1518.2034280002115,0.9495247,1,TESS,data/processed/TOI-564_01.npz
1129033,TOI-398.01,CONFIRMED,1.3600283,2168.520849000197,2.1652751,1,TESS,data/processed/TOI-398_01.npz
1133072,TOI-566.01,FALSE POSITIVE,0.846542,1517.5315919998102,2.408837,0,TESS,data/processed/TOI-566_01.npz
1333933,TOI-7719.01,CONFIRMED,3.2757945,3989.98847200023,2.391701,1,TESS,data/processed/TOI-7719_01.npz
1950736,TOI-4610.01,FALSE POSITIVE,3.1129681,3307.7293730000965,2.308,0,TESS,data/processed/TOI-4610_01.npz
4070275,TOI-4364.01,CONFIRMED,5.4240691,1439.3402430000715,1.6875037,1,TESS,data/processed/TOI-4364_01.npz
4294779,TOI-2451.01,FALSE POSITIVE,0.3438892,2174.475147999823,0.9696069,0,TESS,data/processed/TOI-2451_01.npz
4610830,TOI-6833.01,CONFIRMED,8.2616616,3219.1447959998623,2.862,1,TESS,data/processed/TOI-6833_01.npz
4646810,TOI-461.01,CONFIRMED,10.9245478,1416.351956000086,1.8716477,1,TESS,data/processed/TOI-461_01.npz
4897275,TOI-1774.01,CONFIRMED,16.7100422,1872.341155000031,5.4004652,1,TESS,data/processed/TOI-1774_01.npz
4918918,TOI-5747.01,CONFIRMED,0.5734766,1870.4745700000783,0.9004508,1,TESS,data/processed/TOI-5747_01.npz
5024743,TOI-2805.01,FALSE POSITIVE,12.4498835,2990.1413929997943,5.45,0,TESS,data/processed/TOI-2805_01.npz
5109298,TOI-960.01,FALSE POSITIVE,1.6187107,2202.960241000168,4.739749,0,TESS,data/processed/TOI-960_01.npz
5772442,TOI-979.01,FALSE POSITIVE,1.10578,1492.5018099998124,1.87,0,TESS,data/processed/TOI-979_01.npz
5800958,TOI-5429.01,FALSE POSITIVE,4.2318085,2545.8846680000424,2.558,0,TESS,data/processed/TOI-5429_01.npz
6653897,TOI-5450.01,FALSE POSITIVE,0.8857522,2549.1227660002187,1.579,0,TESS,data/processed/TOI-5450_01.npz
6892385,TOI-5164.01,CONFIRMED,8.2669589,3256.367180999834,3.328,1,TESS,data/processed/TOI-5164_01.npz
6893917,TOI-5074.01,CONFIRMED,3.0801795,2502.3949449998327,3.4870958,1,TESS,data/processed/TOI-5074_01.npz
7020254,TOI-4316.01,CONFIRMED,20.2730282,3238.657358000055,3.651,1,TESS,data/processed/TOI-4316_01.npz
7088246,TOI-1065.01,CONFIRMED,2.160344,1654.3479940001853,1.828854,1,TESS,data/processed/TOI-1065_01.npz
7548817,TOI-2583.01,CONFIRMED,4.52074,2735.896093000192,4.175,1,TESS,data/processed/TOI-2583_01.npz
8260536,TOI-5398.01,CONFIRMED,10.590923,2616.492054999806,4.105,1,TESS,data/processed/TOI-5398_01.npz
8260536,TOI-5398.02,CONFIRMED,4.7728997,2628.618083000183,2.906,1,TESS,data/processed/TOI-5398_02.npz
8348911,TOI-2266.01,CONFIRMED,2.326343,1957.9251999999397,1.2195051,1,TESS,data/processed/TOI-2266_01.npz
8400842,TOI-1676.01,CONFIRMED,3.1915257,3657.3825570000336,2.756,1,TESS,data/processed/TOI-1676_01.npz
8599009,TOI-4463.01,CONFIRMED,2.88069,2766.9558339999057,1.784,1,TESS,data/processed/TOI-4463_01.npz
8767448,TOI-1767.01,CONFIRMED,4.3532339,1892.510627000127,3.869,1,TESS,data/processed/TOI-1767_01.npz
8967242,TOI-1799.01,CONFIRMED,7.093853,1904.8157730000096,2.5107626,1,TESS,data/processed/TOI-1799_01.npz
9032368,TOI-373.01,FALSE POSITIVE,1.632,1355.6794199999422,1.466,0,TESS,data/processed/TOI-373_01.npz
9033144,TOI-367.01,FALSE POSITIVE,4.7150255,3202.5793440002017,3.302,0,TESS,data/processed/TOI-367_01.npz
9102327,TOI-313.01,FALSE POSITIVE,3.2615,1354.5433200001717,2.233,0,TESS,data/processed/TOI-313_01.npz
9155187,TOI-5373.01,CONFIRMED,4.1878375,2582.167295999825,2.9905904,1,TESS,data/processed/TOI-5373_01.npz
9385460,TOI-6546.01,CONFIRMED,3.3779614,3044.202477999963,4.2709189,1,TESS,data/processed/TOI-6546_01.npz
9725627,TOI-239.01,CONFIRMED,4.1567834,1356.962228000164,3.9413609,1,TESS,data/processed/TOI-239_01.npz
9727392,TOI-236.01,FALSE POSITIVE,4.534451,1355.3257109997794,4.936391,0,TESS,data/processed/TOI-236_01.npz
9989136,TOI-5734.01,CONFIRMED,6.1841688,1848.6851400001904,2.5898497,1,TESS,data/processed/TOI-5734_01.npz
10837041,TOI-2411.01,CONFIRMED,0.7827075,3987.464436000213,1.0403706,1,TESS,data/processed/TOI-2411_01.npz
10974783,TOI-4020.01,FALSE POSITIVE,3.2174446,2719.5968510000966,3.8917348,0,TESS,data/processed/TOI-4020_01.npz
11111899,TOI-1313.01,FALSE POSITIVE,0.6193401,3557.800973000005,1.514,0,TESS,data/processed/TOI-1313_01.npz
11270200,TOI-7478.01,CONFIRMED,3.1432403,3806.0621589999646,4.3767436,1,TESS,data/processed/TOI-7478_01.npz
