id,name,disposition,period,time0bk,duration,label,mission,path
2876,TOI-3131.01,CANDIDATE,2.6274574,2357.0470210001804,2.31,1,TESS,data/processed/TOI-3131_01.npz
160023,TOI-3125.01,CANDIDATE,6.7565519,2358.4432910000905,3.442,1,TESS,data/processed/TOI-3125_01.npz
808243,TOI-5848.01,CANDIDATE,1.5101054,2795.467391999904,2.993,1,TESS,data/processed/TOI-5848_01.npz
857186,TOI-5288.01,CANDIDATE,3.8123614,2465.891745999921,2.565,1,TESS,data/processed/TOI-5288_01.npz
1003831,TOI-564.01,CONFIRMED,1.6511456,1518.2034280002115,0.9495247,1,TESS,data/processed/TOI-564_01.npz
1018843,TOI-2673.01,CANDIDATE,1.9126596,3011.626284999773,2.178,1,TESS,data/processed/TOI-2673_01.npz
1042432,TOI-5725.01,CANDIDATE,746.9545356,1882.1068239999004,2.77304,1,TESS,data/processed/TOI-5725_01.npz
1129033,TOI-398.01,CONFIRMED,1.3600283,2168.520849000197,2.1652751,1,TESS,data/processed/TOI-398_01.npz
1133072,TOI-566.01,FALSE POSITIVE,0.846542,1517.5315919998102,2.408837,0,TESS,data/processed/TOI-566_01.npz
1525480,TOI-2402.01,CANDIDATE,5.5094951,2276.1173379998654,2.892,1,TESS,data/processed/TOI-2402_01.npz
1942969,TOI-5459.01,CANDIDATE,2.8078585,2912.805476000067,1.516,1,TESS,data/processed/TOI-5459_01.npz
1950736,TOI-4610.01,FALSE POSITIVE,3.1129681,3307.7293730000965,2.308,0,TESS,data/processed/TOI-4610_01.npz
2507547,TOI-6458.01,CANDIDATE,9.7831931,1817.030487000011,3.5873151,1,TESS,data/processed/TOI-6458_01.npz
2685481,TOI-5113.01,CANDIDATE,4.136488,3662.395647000056,2.551,1,TESS,data/processed/TOI-5113_01.npz
2758565,TOI-287.01,CANDIDATE,3.7815683,2089.6557300002314,2.0137346,1,TESS,data/processed/TOI-287_01.npz
2760219,TOI-2382.01,CANDIDATE,4.6612025,2089.6068130000494,2.1408549,1,TESS,data/processed/TOI-2382_01.npz
3027681,TOI-3723.01,CANDIDATE,3.9442027,2544.669393000193,3.269,1,TESS,data/processed/TOI-3723_01.npz
3364732,TOI-3771.01,CANDIDATE,3.6238662,2476.0414280002005,2.723108,1,TESS,data/processed/TOI-3771_01.npz
3680800,TOI-5856.01,CANDIDATE,0.5498864,2795.6078630001284,1.588,1,TESS,data/processed/TOI-5856_01.npz
3728481,TOI-6561.01,CANDIDATE,3.1739329,3089.8166410000995,1.192,1,TESS,data/processed/TOI-6561_01.npz
3808740,TOI-3895.01,CANDIDATE,6.6713748,2664.070543000009,3.299,1,TESS,data/processed/TOI-3895_01.npz
3840990,TOI-2942.01,CANDIDATE,3.525723,2303.83362600021,4.582,1,TESS,data/processed/TOI-2942_01.npz
4102368,TOI-4241.01,CANDIDATE,3.1118943,2990.9651350001805,2.761,1,TESS,data/processed/TOI-4241_01.npz
4165850,TOI-5160.01,CANDIDATE,4.2807509,3258.887432999909,2.051,1,TESS,data/processed/TOI-5160_01.npz
4294779,TOI-2451.01,FALSE POSITIVE,0.3438892,2174.475147999823,0.9696069,0,TESS,data/processed/TOI-2451_01.npz
4426490,TOI-6874.01,FALSE POSITIVE,2.668957,3235.0219319998287,2.7508738,0,TESS,data/processed/TOI-6874_01.npz
4464022,TOI-4542.01,CANDIDATE,5.9167681,2453.2084130002186,1.7482041,1,TESS,data/processed/TOI-4542_01.npz
4598935,TOI-6469.01,CANDIDATE,24.7104662,2972.631688999943,5.259,1,TESS,data/processed/TOI-6469_01.npz
4605846,TOI-3813.01,CANDIDATE,3.7178656,2500.9542299997993,3.2262534,1,TESS,data/processed/TOI-3813_01.npz
4610830,TOI-6833.01,CONFIRMED,8.2616616,3219.1447959998623,2.862,1,TESS,data/processed/TOI-6833_01.npz
4646810,TOI-461.01,CONFIRMED,10.9245478,1416.351956000086,1.8716477,1,TESS,data/processed/TOI-461_01.npz
4918918,TOI-5747.01,CONFIRMED,0.5734766,1870.4745700000783,0.9004508,1,TESS,data/processed/TOI-5747_01.npz
5024743,TOI-2805.01,FALSE POSITIVE,12.4498835,2990.1413929997943,5.45,0,TESS,data/processed/TOI-2805_01.npz
5109298,TOI-960.01,FALSE POSITIVE,1.6187107,2202.960241000168,4.739749,0,TESS,data/processed/TOI-960_01.npz
5224772,TOI-2940.01,CANDIDATE,4.5991516,2301.079390999861,3.113,1,TESS,data/processed/TOI-2940_01.npz
5709314,TOI-6517.01,CANDIDATE,2.6185048,3038.98992000008,1.096,1,TESS,data/processed/TOI-6517_01.npz
5724439,TOI-6333.01,CANDIDATE,2.7205913,2909.6733789998107,2.321,1,TESS,data/processed/TOI-6333_01.npz
5772442,TOI-979.01,FALSE POSITIVE,1.10578,1492.5018099998124,1.87,0,TESS,data/processed/TOI-979_01.npz
5800958,TOI-5429.01,FALSE POSITIVE,4.2318085,2545.8846680000424,2.558,0,TESS,data/processed/TOI-5429_01.npz
5972036,TOI-6976.01,CANDIDATE,1.7346044,3037.517533000093,1.084,1,TESS,data/processed/TOI-6976_01.npz
6276559,TOI-2551.01,CANDIDATE,5.436841,2244.805720000062,2.335,1,TESS,data/processed/TOI-2551_01.npz
6404965,TOI-3346.01,CANDIDATE,4.8692603,1681.381271999795,2.538,1,TESS,data/processed/TOI-3346_01.npz
6499453,TOI-5549.01,CANDIDATE,7.4323882,2475.124497999903,2.7759349,1,TESS,data/processed/TOI-5549_01.npz
6653897,TOI-5450.01,FALSE POSITIVE,0.8857522,2549.1227660002187,1.579,0,TESS,data/processed/TOI-5450_01.npz
6663331,TOI-1068.01,CONFIRMED,3.180362,1656.6332310000437,2.111521,1,TESS,data/processed/TOI-1068_01.npz
6785559,TOI-5085.01,CANDIDATE,4.5117148,2546.925741000101,4.48,1,TESS,data/processed/TOI-5085_01.npz
6853696,TOI-5437.01,CANDIDATE,3.42015,2544.097773999907,3.801,1,TESS,data/processed/TOI-5437_01.npz
6893917,TOI-5074.01,CONFIRMED,3.0801795,2502.3949449998327,3.4870958,1,TESS,data/processed/TOI-5074_01.npz
7020254,TOI-4316.01,CONFIRMED,20.2730282,3238.657358000055,3.651,1,TESS,data/processed/TOI-4316_01.npz
7088246,TOI-1065.01,CONFIRMED,2.160344,1654.3479940001853,1.828854,1,TESS,data/processed/TOI-1065_01.npz
7274938,TOI-4215.01,CANDIDATE,1.0994412,2251.093807999976,1.394,1,TESS,data/processed/TOI-4215_01.npz
7422496,TOI-4189.01,CANDIDATE,46.9621053,1470.361614999827,5.7665722,1,TESS,data/processed/TOI-4189_01.npz
7439480,TOI-6110.01,CANDIDATE,1.2541235,2360.30512299994,1.105,1,TESS,data/processed/TOI-6110_01.npz
7439481,TOI-4339.01,FALSE POSITIVE,1.2540806,2333.969004999846,1.3435517,0,TESS,data/processed/TOI-4339_01.npz
7548817,TOI-2583.01,CONFIRMED,4.52074,2735.896093000192,4.175,1,TESS,data/processed/TOI-2583_01.npz
7561203,TOI-991.01,CANDIDATE,2.4843225,2987.447924000211,1.999,1,TESS,data/processed/TOI-991_01.npz
7562528,TOI-6452.01,CANDIDATE,5.2477739,2987.078877000138,3.138,1,TESS,data/processed/TOI-6452_01.npz
7583660,TOI-5214.01,CANDIDATE,5.3333965,2445.571124999784,5.577,1,TESS,data/processed/TOI-5214_01.npz
7624182,TOI-412.01,FALSE POSITIVE,1.1096992,2199.670069000218,2.097,0,TESS,data/processed/TOI-412_01.npz
7681574,TOI-5279.01,CANDIDATE,16.0104634,2428.849564000033,2.151,1,TESS,data/processed/TOI-5279_01.npz
7976072,TOI-4805.01,CANDIDATE,8.9981735,2239.2890150002204,4.547,1,TESS,data/processed/TOI-4805_01.npz
8005485,TOI-4956.01,CANDIDATE,5.1087099,2356.229774999898,1.011,1,TESS,data/processed/TOI-4956_01.npz
8260536,TOI-5398.01,CONFIRMED,10.590923,2616.492054999806,4.105,1,TESS,data/processed/TOI-5398_01.npz
8260536,TOI-5398.02,CONFIRMED,4.7728997,2628.618083000183,2.906,1,TESS,data/processed/TOI-5398_02.npz
8348911,TOI-2266.01,CONFIRMED,2.326343,1957.9251999999397,1.2195051,1,TESS,data/processed/TOI-2266_01.npz
8516795,TOI-2169.01,CANDIDATE,8.2148505,2773.747944999952,3.839,1,TESS,data/processed/TOI-2169_01.npz
8599009,TOI-4463.01,CONFIRMED,2.88069,2766.9558339999057,1.784,1,TESS,data/processed/TOI-4463_01.npz
8767448,TOI-1767.01,CONFIRMED,4.3532339,1892.510627000127,3.869,1,TESS,data/processed/TOI-1767_01.npz
8853478,TOI-5390.01,CANDIDATE,15.0619708,2617.289687000215,3.2914107,1,TESS,data/processed/TOI-5390_01.npz
8967242,TOI-1799.01,CONFIRMED,7.093853,1904.8157730000096,2.5107626,1,TESS,data/processed/TOI-1799_01.npz
8995204,TOI-6832.01,CANDIDATE,5.1392756,3230.6889069997706,2.426,1,TESS,data/processed/TOI-6832_01.npz
9006668,TOI-238.01,CONFIRMED,1.2730965,3205.747992000077,1.48,1,TESS,data/processed/TOI-238_01.npz
9030119,TOI-4549.01,CANDIDATE,3.3129214,3231.218276000116,2.097,1,TESS,data/processed/TOI-4549_01.npz
9032367,TOI-6731.01,CANDIDATE,1.6322295,3183.7455770000815,1.7533945,1,TESS,data/processed/TOI-6731_01.npz
9032368,TOI-373.01,FALSE POSITIVE,1.632,1355.6794199999422,1.466,0,TESS,data/processed/TOI-373_01.npz
9033144,TOI-367.01,FALSE POSITIVE,4.7150255,3202.5793440002017,3.302,0,TESS,data/processed/TOI-367_01.npz
9100874,TOI-307.01,CANDIDATE,6.1668344,2091.6870619999245,2.2619245,1,TESS,data/processed/TOI-307_01.npz
9136777,TOI-6356.01,CANDIDATE,3.7799201,2930.555383999832,3.493,1,TESS,data/processed/TOI-6356_01.npz
9151337,TOI-5572.01,CANDIDATE,5.8586824,2960.725858999882,2.168,1,TESS,data/processed/TOI-5572_01.npz
9155187,TOI-5373.01,CONFIRMED,4.1878375,2582.167295999825,2.9905904,1,TESS,data/processed/TOI-5373_01.npz
9166136,TOI-6850.01,CANDIDATE,6.0803777,3198.6386910001747,2.486,1,TESS,data/processed/TOI-6850_01.npz
9348006,TOI-1775.01,CONFIRMED,10.2405483,2635.3643260002136,3.538,1,TESS,data/processed/TOI-1775_01.npz
9376973,TOI-5617.01,CANDIDATE,3.154201,2635.766514999792,2.857,1,TESS,data/processed/TOI-5617_01.npz
9385460,TOI-6546.01,CONFIRMED,3.3779614,3044.202477999963,4.2709189,1,TESS,data/processed/TOI-6546_01.npz
9441591,TOI-6376.01,CANDIDATE,4.7185893,2934.822356999852,5.576,1,TESS,data/processed/TOI-6376_01.npz
9443323,TOI-6052.01,CONFIRMED,4.01357,2913.8010959997773,4.1381202,1,TESS,data/processed/TOI-6052_01.npz
9701368,TOI-5774.01,CANDIDATE,5.4049747,2764.1806459999643,2.932,1,TESS,data/processed/TOI-5774_01.npz
9707944,TOI-6896.01,CANDIDATE,19.7357748,2107.4860550002195,4.9695046,1,TESS,data/processed/TOI-6896_01.npz
9725627,TOI-239.01,CONFIRMED,4.1567834,1356.962228000164,3.9413609,1,TESS,data/processed/TOI-239_01.npz
9727392,TOI-236.01,FALSE POSITIVE,4.534451,1355.3257109997794,4.936391,0,TESS,data/processed/TOI-236_01.npz
9804616,TOI-460.01,FALSE POSITIVE,0.5168347,1411.0658709998245,0.936413,0,TESS,data/processed/TOI-460_01.npz
9833284,TOI-3762.01,CANDIDATE,0.6843601,1839.7180320001207,0.762,1,TESS,data/processed/TOI-3762_01.npz
9907513,TOI-5590.01,CANDIDATE,1.2749899,2606.061517999973,1.146,1,TESS,data/processed/TOI-5590_01.npz
9989136,TOI-5734.01,CONFIRMED,6.1841688,1848.6851400001904,2.5898497,1,TESS,data/processed/TOI-5734_01.npz
10507330,TOI-4021.01,CANDIDATE,5.1175439,2737.9956069998443,1.483,1,TESS,data/processed/TOI-4021_01.npz
10593553,TOI-6168.01,CANDIDATE,5.0809743,2848.4095359998755,4.08,1,TESS,data/processed/TOI-6168_01.npz
10792081,TOI-5703.01,CANDIDATE,10.1694553,3650.613080999814,4.534,1,TESS,data/processed/TOI-5703_01.npz
10974783,TOI-4020.01,FALSE POSITIVE,3.2174446,2719.5968510000966,3.8917348,0,TESS,data/processed/TOI-4020_01.npz
11034516,TOI-5861.01,CANDIDATE,14.3033451,2771.8755910000764,4.769,1,TESS,data/processed/TOI-5861_01.npz
11417087,TOI-2938.01,CANDIDATE,4.942456,2272.9235589997843,2.504,1,TESS,data/processed/TOI-2938_01.npz
11439959,TOI-7503.01,CONFIRMED,3.6188769,3805.763534999918,4.3583808,1,TESS,data/processed/TOI-7503_01.npz
11521555,TOI-2401.01,CANDIDATE,5.8681984,3012.073960999958,3.651,1,TESS,data/processed/TOI-2401_01.npz
11755687,TOI-7383.01,CONFIRMED,3.0522686,3663.4549630000256,2.2564388,1,TESS,data/processed/TOI-7383_01.npz
11927677,TOI-6477.01,CANDIDATE,3.6860654,3006.6877069999464,3.531,1,TESS,data/processed/TOI-6477_01.npz
11936042,TOI-2807.01,CANDIDATE,3.9919157,3009.0456500002183,2.938,1,TESS,data/processed/TOI-2807_01.npz
11996814,TOI-2022.01,FALSE POSITIVE,0.4487349,1790.8494350002147,2.8757897,0,TESS,data/processed/TOI-2022_01.npz
12036590,TOI-2598.01,FALSE POSITIVE,5.73436,2226.8011690001003,1.146,0,TESS,data/processed/TOI-2598_01.npz
12090836,TOI-7577.01,CANDIDATE,3.1969894,3682.669056999963,3.4011226,1,TESS,data/processed/TOI-7577_01.npz
12421862,TOI-198.01,CONFIRMED,10.2152025,1356.3718639998697,2.3476219,1,TESS,data/processed/TOI-198_01.npz
12423815,TOI-234.01,CANDIDATE,2.8392793,1356.0877149999142,1.4011791,1,TESS,data/processed/TOI-234_01.npz
12611594,TOI-7493.01,CONFIRMED,1.9155258,3803.3614429999143,3.5663951,1,TESS,data/processed/TOI-7493_01.npz
12862099,TOI-259.01,CONFIRMED,2.4238226,1386.5781180001795,2.2484015,1,TESS,data/processed/TOI-259_01.npz
12980264,TOI-6319.01,CANDIDATE,3.2964006,2906.8349000001326,3.959,1,TESS,data/processed/TOI-6319_01.npz
12999193,TOI-7689.01,CANDIDATE,1.4826121,3908.5534299998544,0.3394876,1,TESS,data/processed/TOI-7689_01.npz
13021029,TOI-439.01,CONFIRMED,3.85589,2175.5997620001435,3.9555399,1,TESS,data/processed/TOI-439_01.npz
